symbol,date,price
Microsoft,Jan 2000,39.81
Microsoft,Feb 2000,36.35
Microsoft,Mar 2000,43.22
Microsoft,Apr 2000,28.37
Microsoft,May 2000,25.45
Microsoft,Jun 2000,32.54
Microsoft,Jul 2000,28.4
Microsoft,Aug 2000,28.4
Microsoft,Sep 2000,24.53
Microsoft,Oct 2000,28.02
Microsoft,Nov 2000,23.34
Microsoft,Dec 2000,17.65
Microsoft,Jan 2001,24.84
Microsoft,Feb 2001,24
Microsoft,Mar 2001,22.25
Microsoft,Apr 2001,27.56
Microsoft,May 2001,28.14
Microsoft,Jun 2001,29.7
Microsoft,Jul 2001,26.93
Microsoft,Aug 2001,23.21
Microsoft,Sep 2001,20.82
Microsoft,Oct 2001,23.65
Microsoft,Nov 2001,26.12
Microsoft,Dec 2001,26.95
Microsoft,Jan 2002,25.92
Microsoft,Feb 2002,23.73
Microsoft,Mar 2002,24.53
Microsoft,Apr 2002,21.26
Microsoft,May 2002,20.71
Microsoft,Jun 2002,22.25
Microsoft,Jul 2002,19.52
Microsoft,Aug 2002,19.97
Microsoft,Sep 2002,17.79
Microsoft,Oct 2002,21.75
Microsoft,Nov 2002,23.46
Microsoft,Dec 2002,21.03
Microsoft,Jan 2003,19.31
Microsoft,Feb 2003,19.34
Microsoft,Mar 2003,19.76
Microsoft,Apr 2003,20.87
Microsoft,May 2003,20.09
Microsoft,Jun 2003,20.93
Microsoft,Jul 2003,21.56
Microsoft,Aug 2003,21.65
Microsoft,Sep 2003,22.69
Microsoft,Oct 2003,21.45
Microsoft,Nov 2003,21.1
Microsoft,Dec 2003,22.46
Microsoft,Jan 2004,22.69
Microsoft,Feb 2004,21.77
Microsoft,Mar 2004,20.46
Microsoft,Apr 2004,21.45
Microsoft,May 2004,21.53
Microsoft,Jun 2004,23.44
Microsoft,Jul 2004,23.38
Microsoft,Aug 2004,22.47
Microsoft,Sep 2004,22.76
Microsoft,Oct 2004,23.02
Microsoft,Nov 2004,24.6
Microsoft,Dec 2004,24.52
Microsoft,Jan 2005,24.11
Microsoft,Feb 2005,23.15
Microsoft,Mar 2005,22.24
Microsoft,Apr 2005,23.28
Microsoft,May 2005,23.82
Microsoft,Jun 2005,22.93
Microsoft,Jul 2005,23.64
Microsoft,Aug 2005,25.35
Microsoft,Sep 2005,23.83
Microsoft,Oct 2005,23.8
Microsoft,Nov 2005,25.71
Microsoft,Dec 2005,24.29
Microsoft,Jan 2006,26.14
Microsoft,Feb 2006,25.04
Microsoft,Mar 2006,25.36
Microsoft,Apr 2006,22.5
Microsoft,May 2006,21.19
Microsoft,Jun 2006,21.8
Microsoft,Jul 2006,22.51
Microsoft,Aug 2006,24.13
Microsoft,Sep 2006,25.68
Microsoft,Oct 2006,26.96
Microsoft,Nov 2006,27.66
Microsoft,Dec 2006,28.13
Microsoft,Jan 2007,29.07
Microsoft,Feb 2007,26.63
